602099725|544461978;511820675;537558229;502137489;505368416;541996860;542874560;496812650;527253264;508046210
495978094|531585564;477883729;533146762;520181431;602509114;495825595;529002032;481204592;602931717;531163151
533163807|525939196;532150047;480214771;540466497;456382797;605823350;538507493;532455452;539971117;600262896
493912354|534851987;542503356;536145781;1150561;161807365;168383707;292943374;295727333;307384075;315456573
479234743|512196120;530612030;497506992;534736201;519291710;494455384;504902816;530385236;481592453;530385284
604409462|527743115;539026584;536283034;535072130;494346364;539684448;527245640;528687429;533796359;535009107
541392945|605302649;539273470;541392952;415732959;451916553;458916804;468491903;470958557;474598204;476538159
544393718|534344782;531515803;543217754;606513902;532149973;539086458;538872919;541546754;531515031;499879951
488114320|509366586;486302492;537136836;543389345;493905860;488113118;210294359;539404013;543859626;601311019
530268461|161807365;168383707;323461431;329917442;345016081;363529646;414813194;430809671;431512166;432920883
505037102|503470207;530562263;530560892;602407849;602479312;270538245;344232369;349585737;358291986;384209272
505037103|530089941;455809754;519097352;543645087;511606936;519162537;543641613;519107975;519102099;494222344
603029810|543859293;605680153;512052473;26734903;161501389;430867308;433509609;439374258;443165831;448528714
608706611|519184781;530755239;543738472;543858923;456041417;161807365;212494506;414813194;425221546;432559640
518910893|456041417;605486282;517702079;532789695;525043013;505070546;534633208;533163788;537108371;161807365
519277647|601300950;513832012;518599547;533504647;530894614;530384776;494456465;506545068;518356296;513228857
603029819|605820187;541947979;544393717;487323409;543859162;605677013;218767164;452303338;456819690;456889415
536507786|523040161;531162799;531163224;602407998;526810275;605977314;611260256;462742508;517695034;523569351
505037118|498356661;602509145;537233806;521918181;510633690;483126105;506544808;495093004;504000877;602509160
517849407|530894485;538012108;609379749;538309176;604595503;605039606;504922613;530890396;494217057;504922610
544152579|534764066;600241271;604432213;543859609;536131251;538682465;544011811;543185280;544011081;536280784
538913505|505116991;494455384;601300984;539020492;503921563;494450272;543997050;522425019;494219248;508478939
475611464|474568394;11826933;212494506;425221546;432559640;432559658;435973729;436256185;440482327;440482388
349585737|522742152;544673165;602503156;523048038;517161142;537359217;533795959;36670161;192385349;239930650
448528714|431137406;431950227;455336385;456848296;456941873;466490132;467618660;469692182;470738076;476716627
473014327|474598204;415732959;441085880;441766715;452303338;453574414;456819690;456889415;458916804;458994112
459538767|499452652;459316160;450706462;521108593;467115789;460669748;522909374;497322941;459316131;430867308
491995472|490342406;539150309;535536082;540294503;536283638;540293591;535384204;545185762;545183855;535770002
541392952|541392945;539636490;415732959;451916553;458916804;468491903;470958557;474598204;476538159;477004518
530268501|534955615;488310760;538307898;538310190;538872941;535028138;536279227;603512194;534764050;538007976
541392953|540976959;530088887;489485853;415889940;445341450;458732944;465115128;466491010;469274954;480831697
444875096|450676698;529825052;497872708;521107095;470043444;489058206;508046360;495093250;510162301;540552171
538870109|452358683;603692232;536282351;535249725;484110386;537136884;537256367;501276816;537415789;533842974
544459238|539610527;533607303;531515058;533607051;537136899;541057764;487458647;501198097;544393718;515136389
527843681|504958234;528983359;527843908;499539679;528939855;529272577;544627181;517318924;517319434;531676781
527021171|477883442;604991994;492268179;494221699;469724604;536240851;517869124;536711409;605040699;483844313
518963559|512915214;537138119;497749206;517692404;518952404;512913297;534852454;611260225;531163228;512051071
